url,type,is_submodule,submodule_path,researched,notes
https://github.com/cohere-ai/cohere-terrarium,github_repo,yes,external/sandboxing/cohere-terrarium,no,
https://github.com/coingecko/coingecko-typescript,github_repo,yes,external/financial/coingecko-typescript,no,
https://github.com/coinstatshq/coinstats-mcp,github_repo,yes,external/financial/coinstats-mcp,no,
https://github.com/copilotkit/copilotkit,github_repo,yes,external/orchestration/CopilotKit,no,
https://github.com/corespeed-io/zypher-agent,github_repo,yes,external/mcp-tooling/zypher-agent,no,
https://github.com/danieliser/codemode-unified,github_repo,yes,external/mcp-tooling/codemode-unified,no,
https://github.com/dappierai/dappier-mcp,github_repo,yes,external/financial/dappier-mcp,no,
https://github.com/deepbluedynamics/codex-container,github_repo,yes,external/unsorted/codex-container,no,
https://github.com/denniszielke/agentic-playground,github_repo,yes,external/orchestration/agentic-playground,no,
https://github.com/derek-larson14/claude-code-openrouter,github_repo,yes,external/clis/claude-code-openrouter,no,
https://github.com/dhatchinamoorthy/googlegeminirouter,github_repo,yes,external/clis/GoogleGeminiRouter,no,
https://github.com/dianel555/gemini-superclaude-mcp-server,github_repo,yes,external/clis/gemini-superclaude-mcp-server,no,
https://github.com/dicklesworthstone/beads_viewer,github_repo,yes,external/memory/beads_viewer,no,
https://github.com/digit1024/mcp_obsidian_notes,github_repo,yes,external/mcp-servers/mcp_obsidian_notes,no,
https://github.com/doobidoo/mcp-memory-service,github_repo,yes,external/memory/mcp-memory-service,no,
https://github.com/drdavidl/sem-mem,github_repo,yes,external/memory/sem-mem,no,
https://github.com/dumbris/mcpproxy,github_repo,yes,external/mcp-tooling/mcpproxy,no,
https://github.com/e2b-dev/code-interpreter,github_repo,yes,external/sandboxing/code-interpreter,no,
https://github.com/ej-tether/tether-chat,github_repo,yes,external/mcp-servers/Tether-Chat,no,
https://github.com/elusznik/mcp-server-code-execution-mode,github_repo,yes,external/mcp-tooling/mcp-server-code-execution-mode,no,
https://github.com/engineer-man/piston,github_repo,yes,external/sandboxing/piston,no,
https://github.com/eqtylab/agent-console,github_repo,yes,external/mcp-servers/agent-console,no,
https://github.com/ethancod1ng/binance-mcp-server,github_repo,yes,external/financial/binance-mcp-server,no,
https://github.com/ethancod1ng/bybit-mcp-server,github_repo,yes,external/financial/bybit-mcp-server,no,
https://github.com/factory-ai/factory,github_repo,yes,external/clis/factory,no,
https://github.com/farion1231/cc-switch,github_repo,yes,external/clis/cc-switch,no,
https://github.com/financial-datasets/mcp-server,github_repo,yes,external/financial/mcp-server,no,
https://github.com/finmap-org/mcp-server,github_repo,yes,external/forks/finmap-org/mcp-server,no,
https://github.com/gemini-cli-extensions/conductor,github_repo,yes,external/mcp-servers/conductor,no,
https://github.com/gemini-cli-extensions/datacommons,github_repo,yes,external/mcp-servers/datacommons,no,
https://github.com/gemini-cli-extensions/firebase,github_repo,yes,external/mcp-servers/firebase,no,
https://github.com/gemini-cli-extensions/gcloud,github_repo,yes,external/mcp-servers/gcloud,no,
https://github.com/gemini-cli-extensions/jules,github_repo,yes,external/mcp-servers/jules,no,
https://github.com/gemini-cli-extensions/mcp-toolbox,github_repo,yes,external/mcp-servers/mcp-toolbox,no,
